,1,2,3,4,5,6
Experiments,Bed,Container,Hour,Dye,Charlton_Athletic_F.C.,Gas_syringe
,Palette_knife,Oral_history,Foolscap,Imagination,Pantograph,Safety_lamp
Comets,Plaque,Amylase,Rickets,Bile,Dental_pulp,Dye
Oceanic_countries,List_of_French_football_teams,Fishing_net,Depth,Cost_of_living,London_Borough_of_Islington,London_Borough_of_Merton
Mechanics,Protease,List_of_French_football_teams,List_of_French_football_teams,List_of_mathematicians,Houseplant,London_Borough_of_Islington
Cartography,List_of_French_football_teams,Server_log,Palette_knife,Plaque,Charlton_Athletic_F.C.,Bankside
Messaging,Poland,Norway,Republic_of_China,Indonesia,Sweden,Turkey
Companies_listed_on_NASDAQ,Palette_knife,Mancala,Nim,Uncle,Dye,List_of_Portuguese_football_teams
Political_parties,Hill,Week,Plaque,Evidence,Air_space,Glass_rod
Non-verbal_communication,List_of_mathematicians,List_of_mathematicians,Server_log,Protease,Outer_space,Container
Physiology,List_of_mathematicians,Server_log,Service_economy,Value,Imagination,Fingerplate
Freedom,Palette_knife,Paperback,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Sideboard,Aberystwyth_Town_F.C.
1859_births,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Symbols,Protease,List_of_French_football_teams,Bed,Frying,List_of_mathematicians,Argon
Punishments,List_of_French_football_teams,Bankside,Bankside,Depth,NEWI_Cefn_Druids_F.C.,Coat
Medicine,List_of_French_football_teams,Protease,List_of_common_elements,List_of_mathematicians,Houseplant,Palette_knife
Chinese_language,Flame_(disambiguation),States_of_Germany,Glass_rod,A.F.C._Wimbledon,Safety_lamp,Hawaiian_Islands
Earth_sciences,Houseplant,Luggage,Christmas_stocking,Headrest,NEWI_Cefn_Druids_F.C.,Camden
1917_deaths,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Politics_stubs,Protease,List_of_common_elements,Server_log,Governor_General,Hawaiian_Islands,Hawaiian_Islands
Microeconomics,List_of_mathematicians,Houseplant,Palette_knife,Luffa,A.F.C._Wimbledon,Sheffield_F.C.
History_of_Spain,Protease,Mudguard,Christmas_stocking,News_agency,Homophone,Dental_pulp
Quebec,Bed,List_of_mathematicians,London_Borough_of_Southwark,Camden,Dye,London_Borough_of_Islington
Limbs_and_extremities,Plaque,Amylase,Shovel,Rickets,Homophone,Bile
Police,Palette_knife,Oral_history,Foolscap,Imagination,Pantograph,Safety_lamp
Death,List_of_French_football_teams,Fishing_net,Vatican_City,1920s,Bed,London_Borough_of_Merton
Life,List_of_common_elements,List_of_mathematicians,Fishing_net,Container,Oral_history,Cognitive_science
Integumentary_system,Japan,Argentina,Austria,Brazil,Turkey,Angola
Glass,List_of_French_football_teams,Pantograph,NEWI_Cefn_Druids_F.C.,Middlesbrough_F.C.,Dye,Charlton_Athletic_F.C.
Crime,List_of_mathematicians,List_of_mathematicians,Dye,Dye,Dye,Palette_knife
Historians,List_of_common_elements,Protease,Fishing_net,Scientist,Condensation,Cosmology
Health,Hill,Houseplant,Houseplant,Minute,Spice,Governor_General
Nuclear_physics,Bed,Bed,Fishing_net,Alexander_Gode,Alexander_Gode,List_of_mathematicians
Geology,List_of_French_football_teams,List_of_common_elements,Bed,Bed,List_of_mathematicians,Palette_knife
Colleges_and_universities,Houseplant,Palette_knife,Uncle,Hawaiian_Islands,List_of_Portuguese_football_teams,London_Borough_of_Islington
American_technology_companies,Palette_knife,Mancala,Nim,Uncle,Dye,List_of_Portuguese_football_teams
Calendars,List_of_mathematicians,Houseplant,Palette_knife,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands
International_standards,Protease,List_of_common_elements,Immunology,Container,Planet,Bed
Dialects_of_English,List_of_mathematicians,Palette_knife,Palette_knife,Hour,Swamp_cooler,Glass_rod
Ancient_Rome,Hill,Plaque,Evidence,Spice,Seam_ripper,Swamp_cooler
Provinces_of_China,List_of_French_football_teams,Oldham_Cricket_Club,Alexander_Gode,Hour,Hawaiian_Islands,Dye
Units_of_time,Protease,List_of_common_elements,List_of_mathematicians,List_of_mathematicians,List_of_French_football_teams,Frying
English_language,Protease,Protease,Protease,Container,Fishing_net,Houseplant
Greater_Middle_East,Palette,Governor_General,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,List_of_Portuguese_football_teams
1865_births,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
1936_deaths,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
Sino-Tibetan_languages,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,Tongue-twister,Fishing_net,North_America
Kitchenware,Elizabeth_II,Quebec,Server_log,List_of_common_elements,Pop_music,List_of_mathematicians
Computers,Protease,Protease,Protease,Houseplant,Palette_knife,1000_(number)
Pets,Protease,List_of_common_elements,Bed,List_of_mathematicians,Blindness,Minnesota_River
Europe,Language_families_and_languages,First_language,Bed,Swahili_language,Browser,Flea
Software_licences,Houseplant,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Dye,List_of_Portuguese_football_teams,London_Borough_of_Islington
Pop_musicians,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Encyclopedias,Protease,List_of_mathematicians,Palette_knife,Luffa,Hawaiian_Islands,Dye
Transition_metals,Christmas_stocking,Governor_General,Paperback,Plate,Generation,Hawaiian_Islands
Lists,List_of_French_football_teams,Protease,List_of_mathematicians,Hawaiian_Islands,Dye,Charlton_Athletic_F.C.
Gnosticism,List_of_French_football_teams,Protease,Bed,Alexander_Gode,Arabian_Peninsula,1000_(number)
Writing_tools,Botany,List_of_common_elements,Protease,List_of_mathematicians,Houseplant,Eurasia
Spreads,Protease,Frying,Floodlight,Movement,Professor,Open_source
Writing_systems,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,Tongue-twister,Fishing_net,North_America
Noble_gas,List_of_French_football_teams,Bed,Alexander_Gode,City_of_Westminster,Spice,Great_Plains
Politics,Protease,Protease,Protease,List_of_common_elements,Server_log,List_of_mathematicians
Law,Palette_knife,Palette_knife,Palette_knife,Palette_knife,Alexander_Gode,Alexander_Gode
Philosophy,Server_log,Week,Protease,Protease,Protease,Protease
Years,Protease,List_of_French_football_teams,List_of_common_elements,Frying,List_of_mathematicians,Alexander_Gode
Cosmology,Bed,Server_log,Alexander_Gode,Litre,List_of_mathematicians,Dye
Logic,Protease,List_of_mathematicians,List_of_mathematicians,Frying,Brazil,Turkey
Esperanto,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Computer_scientists,Browser,Alexander_Gode,Principal,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Figures_of_speech,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians,Frying,Container,Alexander_Gode
Constructed_languages,Plaque,Mudguard,Palette_knife,Census,Temple,Christmas_stocking
Measurement,List_of_common_elements,Mercury_(planet),Protease,Protease,Alexander_Gode,Alexander_Gode
Anglicanism,List_of_French_football_teams,Protease,List_of_common_elements,List_of_mathematicians,Fishing_net,Alexander_Gode
Wiki_software,Memory,Palette_knife,Nim,Swamp_cooler,Imagination,Sideboard
Nature,Oral_history,Uncle,Middlesbrough_F.C.,Imagination,Dye,Dye
Human_communication,Poland,Protease,Protease,Iran,Norway,Republic_of_China
Containers,Elizabeth_II,Quebec,Server_log,List_of_common_elements,Pop_music,Bed
Citrus,List_of_mathematicians,Houseplant,Camden,Dye,London_Borough_of_Islington,London_Borough_of_Merton
Footwear,Server_log,Fishing_net,NEWI_Cefn_Druids_F.C.,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
History,List_of_common_elements,Botany,Houseplant,Oesophagus,Charlton_Athletic_F.C.,Arabian_Peninsula
People_from_London,Browser,Alexander_Gode,Principal,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Months,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians
Islands,Houseplant,Uncle,Imagination,Hour,Suffix,London_Borough_of_Islington
Asteroids,List_of_mathematicians,Palette_knife,Sideboard,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
History_of_Australia,Hill,Fluid_ounce,Air_space,Spice,Glass_rod,Swamp_cooler
1974_births,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Micronesian_islands,List_of_French_football_teams,Fishing_net,Depth,Cost_of_living,London_Borough_of_Islington,London_Borough_of_Merton
Economics,Server_log,Server_log,Server_log,Server_log,Houseplant,Houseplant
Science-related_lists,List_of_common_elements,Server_log,Frying,Palette_knife,Alexander_Gode,Dye
Astronomy,Drink,Houseplant,Hill,Palette_knife,Minute,Christmas_stocking
Graphics_software,List_of_French_football_teams,Bed,Classical_element,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
1912_births,Browser,Alexander_Gode,Principal,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Colors,List_of_common_elements,Dye,Dye,Dye,Hill,List_of_Portuguese_football_teams
Society,Houseplant,Palette_knife,Palette,Paperback,Hour,Camden
Zoos,Palette_knife,NEWI_Cefn_Druids_F.C.,Aberystwyth_Town_F.C.,Dye,List_of_Portuguese_football_teams,London_Borough_of_Islington
VOA_Special_English_words,List_of_French_football_teams,Fishing_net,Bed,London_Borough_of_Camden,London_Borough_of_Camden,Server_log
Letters_(alphabet),Fishing_net,Alberta,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Cost_of_living
Web_browsers,Palette_knife,Camden,Dye,London_Borough_of_Islington,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Apple_Inc.,Protease,Houseplant,Paperback,Luffa,Imagination,Hour
English_writers,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
Madrid,List_of_common_elements,Bed,Creative_Commons,North_Pole,List_of_mathematicians,Minnesota_River
Empires,Hill,Plaque,Evidence,Spice,Seam_ripper,Swamp_cooler
Microsoft,Palette_knife,Mancala,Nim,Uncle,Dye,List_of_Portuguese_football_teams
Tissues,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,Server_log,Container,Lake_Michigan
Brazil,List_of_French_football_teams,List_of_mathematicians,Fishing_net,Scottish_Football_League,Alexander_Gode,Charlton_Athletic_F.C.
London,List_of_French_football_teams,Bed,Fishing_net,Alexander_Gode,Frying,Houseplant
Gods_and_goddesses,Container,Cost_of_living,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Metaphors,List_of_French_football_teams,Server_log,List_of_Spanish_football_teams,NEWI_Cefn_Druids_F.C.,Tributary,Accrington_Stanley_F.C.
Rosaceae,List_of_French_football_teams,Bed,Angola,Server_log,Container,Alexander_Gode
European_Union_member_states,List_of_common_elements,List_of_common_elements,List_of_French_football_teams,List_of_French_football_teams,Frying,Goatee
Slavery,Palette_knife,Mancala,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Dye
Technology_stubs,Protease,Protease,Protease,Protease,Protease,Protease
Hanseatic_League,List_of_French_football_teams,Bed,Fishing_net,Alexander_Gode,Frying,Houseplant
Sociology,List_of_common_elements,Server_log,Alexander_Gode,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Ireland,AbiWord,1000_(number),Amylase,Luffa,Bile,Uncle
Math_stubs,Indonesia,Ukraine,Thermometer,Protease,Protease,Protease
1954_deaths,Browser,Alexander_Gode,Principal,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Kings_and_queens,Bed,Peace,List_of_mathematicians,Oil,Poetry,Freeware
Apple_software,Australia,Afghanistan,India,Poland,Finland,Japan
Finland,List_of_common_elements,Alexander_Gode,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Charlton_Athletic_F.C.,Bankside
Documents,List_of_common_elements,List_of_mathematicians,Palette_knife,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Architecture,List_of_French_football_teams,List_of_common_elements,Financial_capital,Container,Alexander_Gode,Dye
Organized_crime,List_of_mathematicians,List_of_French_football_teams,Frying,NEWI_Cefn_Druids_F.C.,Protein,Protoplasm
Anatomy,Hill,Week,Plaque,Air_space,Healthy_diet,Dye
Characteristics,Width,Depth,Bankside,Pin_cushion,Hacksaw,London_Borough_of_Lambeth
Operas,List_of_French_football_teams,Fishing_net,NEWI_Cefn_Druids_F.C.,CNN,Bankside,Roman
Minor_planets,List_of_mathematicians,Palette_knife,Sideboard,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Berries,List_of_French_football_teams,Server_log,Palette_knife,NEWI_Cefn_Druids_F.C.,List_of_Portuguese_football_teams,Charlton_Athletic_F.C.
London_boroughs,List_of_French_football_teams,Bed,Fishing_net,Alexander_Gode,Frying,Houseplant
Metabolism,List_of_common_elements,Server_log,List_of_fruits,Dental_pulp,1925,Dye
Epistemology,Houseplant,Palette_knife,Hour,Hawaiian_Islands,List_of_Portuguese_football_teams,London_Borough_of_Islington
Apples,List_of_French_football_teams,Bed,Angola,Server_log,Container,Alexander_Gode
Occult,List_of_mathematicians,Bed,Fishing_net,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
People_buried_in_Westminster_Abbey,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
Architectural_elements,Palette_knife,Christmas_stocking,Palette,Paperback,Uncle,Safety_lamp
Transportation_stubs,Palette_knife,Houseplant,Drink,Hour,Hawaiian_Islands,List_of_Portuguese_football_teams
Currency,List_of_French_football_teams,List_of_common_elements,Metre,Stuttgart,Governor_General,Australasia_(team)
Solanum,List_of_French_football_teams,Server_log,Fishing_net,Palette_knife,Alexander_Gode,Bottle
South-central_Asia,Palette,Governor_General,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,List_of_Portuguese_football_teams
Mars,Houseplant,Palette_knife,1000_(number),North,South,Long_jump
United_States_capital_cities,NEWI_Cefn_Druids_F.C.,Charlton_Athletic_F.C.,Sheffield_F.C.,Roman,List_of_Portuguese_football_teams,Middlesbrough_F.C.
Canada,Houseplant,Palette_knife,Oral_history,Freeware,Shovel,Pantograph
Cities_in_Spain,Japanese_language,Thermometer,Bank,Week,Air_space,Spice
United_Kingdom_stubs,List_of_mathematicians,Palette_knife,Dye,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Scientists,Bed,Palette_knife,NEWI_Cefn_Druids_F.C.,Camden,Sideboard,Dye
History_of_the_British_Isles,List_of_French_football_teams,Protease,List_of_common_elements,List_of_mathematicians,Fishing_net,Alexander_Gode
Equids,List_of_mathematicians,Van,Palette_knife,Amylase,Corset,Hawaiian_Islands
Rivers_of_Canada,Protease,Definition,Evidence,Waxed_paper,Width,Halley\'s_Comet
Great_Lakes,Drink,Palette_knife,Christmas_stocking,Palette,Imagination,Safety_lamp
Care,Oldham_Cricket_Club,Houseplant,Tributary,Great_Plains,Generation,Hour
Planets,Houseplant,Houseplant,Houseplant,Houseplant,Protease,Protease
Geometry,Angola,Slovenia,Brazil,Mountain,Iran,Skin
Names,Palette_knife,Air_space,Christmas_stocking,Palette,Uncle,Safety_lamp
Computer_science,Alberta,Christmas_stocking,Oldham_Cricket_Club,Oral_history,Foolscap,Uncle
Square_numbers,List_of_French_football_teams,Protease,List_of_common_elements,Bed,Australasia_(team),Arabian_Peninsula
Water_transportation,Houseplant,Hawaiian_Islands,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth
Australasia,List_of_French_football_teams,List_of_mathematicians,Bed,Frying,Container,"Coden,_Alabama"
Gondwana,Protease,Bed,Bed,List_of_French_football_teams,Container,Container
Melanesian_islands,List_of_French_football_teams,Fishing_net,Depth,Cost_of_living,London_Borough_of_Islington,London_Borough_of_Merton
Fish,Houseplant,Hour,Dye,Suffix,List_of_Portuguese_football_teams,London_Borough_of_Islington
Cooking,Protease,List_of_mathematicians,Alexander_Gode,Container,London_Borough_of_Merton,London_Borough_of_Greenwich
Libraries,Houseplant,Palette_knife,Uncle,Imagination,NEWI_Cefn_Druids_F.C.,Safety_lamp
Islam,List_of_common_elements,Bed,Hour,Dental_pulp,Suffix,Charlton_Athletic_F.C.
Spanish-speaking_countries,Australia,Pin_cushion,Blindness,Air,Cytology,Civics
Internet_communication,Poland,Norway,Republic_of_China,Indonesia,Sweden,Turkey
Natural_resources,List_of_mathematicians,Tributary,Hour,Pantograph,Camden,Denarius
Wikimedia,Houseplant,Palette_knife,Palette_knife,Memory,Nim,Hour
Comedy_movies,Alexander_Gode,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Charlton_Athletic_F.C.
Occupations,List_of_common_elements,Protease,Fishing_net,Scientist,Condensation,Cosmology
Transcendental_numbers,Mountain,Machine_code,Thermometer,Area,Air_space,Spice
Ethics,List_of_mathematicians,Houseplant,Houseplant,Server_log,London_Borough_of_Lambeth,Creativity
Religion_stubs,Protease,Protease,List_of_common_elements,List_of_common_elements,List_of_French_football_teams,List_of_French_football_teams
Integers,Protease,Protease,List_of_common_elements,Bed,Australasia_(team),List_of_Spanish_football_teams
Sports,Palette_knife,Foolscap,Uncle,Hour,Pantograph,Sideboard
Music_stubs,List_of_French_football_teams,Fishing_net,NEWI_Cefn_Druids_F.C.,CNN,Bankside,Roman
Photography,Alexander_Gode,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Charlton_Athletic_F.C.
Living_people,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Television,Alexander_Gode,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Charlton_Athletic_F.C.
Linguistics,List_of_common_elements,List_of_common_elements,Protease,Protease,Sweden,Turkey
Death_customs,Protease,Bed,Alexander_Gode,London_Borough_of_Camden,London_Borough_of_Islington,London_Borough_of_Islington
Religious_buildings,Protease,Protease,List_of_mathematicians,List_of_mathematicians,London_Borough_of_Islington,London_Borough_of_Islington
Symptoms,List_of_mathematicians,Palette_knife,Hour,Middlesbrough_F.C.,Sideboard,Dye
Tools,List_of_common_elements,Server_log,Fishing_net,Frying,Palette_knife,Container
Ethnic_groups,Palette_knife,Christmas_stocking,Palette,Pantograph,Halley\'s_Comet,Dye
American_singers,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
American_songwriters,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Profanity,List_of_French_football_teams,Iran,Portugal,Albania,Ukraine,Server_log
Indian_people,List_of_mathematicians,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Bankside
Types_of_crime,List_of_mathematicians,List_of_French_football_teams,Frying,NEWI_Cefn_Druids_F.C.,Protein,Protoplasm
SI_units,List_of_French_football_teams,List_of_common_elements,Thuringia,Alexander_Gode,Middlesbrough_F.C.,Dye
Vatican_City,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,St._Gallen_(canton),Alexander_Gode,Dye
Basic_English_850_words,List_of_common_elements,List_of_common_elements,List_of_common_elements,List_of_common_elements,List_of_common_elements,List_of_common_elements
Sound,String_theory,Uncle,North_Rhine-Westphalia,North,Saarlouis,Renegades
Basic_physics_ideas,List_of_French_football_teams,Camden,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Former_capitals_of_the_United_States,List_of_common_elements,City_of_London,Bed,Houseplant,"Toronto,_Ontario",Mile
Leisure,List_of_common_elements,Container,List_of_mathematicians,Slope,List_of_U.S._states,London_Borough_of_Islington
Matter,List_of_French_football_teams,List_of_mathematicians,Stuttgart,Houseplant,Of,States_of_Germany
Imperial_units,London_Borough_of_Islington,London_Borough_of_Islington,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Wandsworth
Physical_quantity,List_of_mathematicians,List_of_mathematicians,List_of_mathematicians,List_of_French_football_teams,Arabian_Peninsula,List_of_common_elements
Forms_of_government,List_of_mathematicians,"Ottawa,_Ontario",Fishing_net,Gas_syringe,London_Borough_of_Southwark,Safety_lamp
Meats,List_of_French_football_teams,List_of_French_football_teams,London_Borough_of_Islington,London_Borough_of_Islington,London_Borough_of_Islington,London_Borough_of_Islington
Optics,Bed,List_of_common_elements,Frying,List_of_mathematicians,Server_log,Gas_syringe
Plays,Alexander_Gode,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich,Charlton_Athletic_F.C.
Census-designated_places,NEWI_Cefn_Druids_F.C.,Charlton_Athletic_F.C.,Sheffield_F.C.,Roman,List_of_Portuguese_football_teams,Middlesbrough_F.C.
Microscopes,List_of_French_football_teams,List_of_common_elements,Bed,Hour,Cost_of_living,Charlton_Athletic_F.C.
Grammy_Award_winners,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Trees,List_of_mathematicians,Palette_knife,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Dye
